age(kyr)  SST(°C)  
   108.3     26.9  
   112.4     26.9  
   116.7     27.0  
   120.9     27.6  
   124.2     27.7  
   126.3     28.1  
   128.3     27.8  
   130.4     27.2  
   132.5     27.0  
   134.7     26.3  
   136.9     26.3  
   139.1     26.2  
   141.2     26.4  
   143.4     26.4  
   145.6     26.8  
   147.8     26.4  
   149.6     26.3  
   151.5     26.6  

5. Core MD85674

age(kyr)  SST(°C)
   0.0      26.9
   0.3      26.6
   0.5      26.6
   0.8      27.0
   2.0      26.9
   2.9      26.6
   3.8      27.5
   4.7      27.1
   5.5      27.3
   6.5      26.8
   7.7      26.6
   9.4      27.0
   10.9     26.6
   12.8     26.4
   13.8     26.5
   14.9     26.5
   16.0     26.5
   16.8     26.0
   17.3     25.7
   17.7     25.7
   18.1     25.7
   18.6     25.4
   19.2     25.5
   19.7     25.6
   20.2     25.6
   20.7     25.2
   21.2     25.9
   21.7     26.3
   22.6     26.1
   24.5     26.5
   26.1     26.5
   27.7     26.4
   29.2     26.3
   32.0     26.4
   33.9     26.1
   36.3     25.9
   38.7     26.2
   41.5     26.3
   43.4     25.9
   45.9     26.1
   48.3     26.2
   49.8     26.3
   50.1     26.3
   50.8     26.1
   51.1     26.3
   51.5     26.3
   52.7     26.5
   53.9     26.6
   55.2     26.6
   56.4     26.4
   57.2     26.3
   58.3     26.6
   59.5     26.6
   60.7     26.7
   62.1     26.2
   63.4     25.9
   65.1     25.7
   66.4     25.8
   67.4     25.8
   68.1     25.6
   69.5     25.8
   70.2     26.0
   70.9     26.5
   71.6     26.5
   72.5     26.3
   73.2     26.9
   73.8     26.7
   74.2     26.9
   74.9     26.8
   75.3     26.9
   76.3     27.0
   77.2     27.1
   78.3     27.3
   79.3     27.4
   80.2     27.5
   80.7     27.5
   81.2     27.6
   81.9     27.6
   82.8     26.8
   83.2     26.9
   85.1     26.7
   86.7     27.0
   88.3     26.9
   89.3     26.8
   90.3     26.5
   91.3     26.5
   92.3     26.5
   93.3     26.6
   94.5     27.0
   95.4     27.3
   96.5     27.3
   97.8     27.5
   99.7     27.4
