Core	Depth (cm)	Age(ka)	d18O	Uk'37	SST
LAPAZ21P	7.715	210.8521127	-999	0.887	24.9
LAPAZ21P	7.765	213.3169014	-999	0.901	25.4
LAPAZ21P	7.815	215.7816901	2.78	0.901	25.4
LAPAZ21P	7.865	218.0909091	-999	0.897	25.2
LAPAZ21P	7.915	219	2.73	0.893	25.1
LAPAZ21P	7.965	219.9090909	-999	0.841	23.6
LAPAZ21P	8.015	220.8181818	3.19	0.837	23.5
LAPAZ21P	8.065	221.7272727	-999	0.804	22.5
LAPAZ21P	8.065	221.7272727	-999	0.81	22.7
LAPAZ21P	8.115	222.6363636	3.11	0.834	23.4
LAPAZ21P	8.165	223.5454546	-999	0.851	23.9
LAPAZ21P	8.215	224.4545455	3.17	0.863	24.2
LAPAZ21P	8.265	225.3636364	-999	0.877	24.7
LAPAZ21P	8.315	226.3541667	2.85	0.881	24.8
LAPAZ21P	8.365	227.5347222	-999	0.894	25.1
LAPAZ21P	8.415	228.7152778	3.11	0.881	24.8
LAPAZ21P	8.465	229.8958333	-999	0.857	24.1
LAPAZ21P	8.515	231.0763889	3.15	0.893	25.1
LAPAZ21P	8.565	232.2569444	-999	0.892	25.1
LAPAZ21P	8.615	233.4375	3.09	0.893	25.1
LAPAZ21P	8.615	233.4375	-999	0.895	25.2
LAPAZ21P	8.665	234.6180556	-999	0.897	25.2
LAPAZ21P	8.715	235.7986111	2.62	0.909	25.6
