Galápagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Galápagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction
LAST UPDATE: 10/2006 (Original receipt by WDC Paleo)
CONTRIBUTOR: David W. Lea, University of California Santa Barbara
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2006-090

SUGGESTED DATA CITATION: Lea, D.W., et al. 2006. 
Galápagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2006-090.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Lea, D.W., D.K. Pak, C.L. Belanger, H.J. Spero, M.A. Hall, and N.J. Shackleton. 2006.
Paleoclimate history of Galápagos surface waters over the last 135,000 yr.
Quaternary Science Reviews, Vol. 25, Issues 11-12, June 2006, pp. 1152-1167,
doi:10.1016/j.quascirev.2005.11.010.

ABSTRACT:
Records of planktonic and benthic foraminiferal d18O and planktonic Mg/Ca 
from core TR163-22, just northwest of the Galápagos Islands, reveal a 
detailed (250–450 year resolution) climate history of the region over the 
last 135 thousand years (kyr). Sea surface temperatures (SSTs), reconstructed 
from G. ruber Mg/Ca, averaged 24.3±0.4 °C during the Holocene, 22.6±0.6 °C 
during marine isotope stage (MIS) 2, 3 and 4, and 26.0±0.9 °C during MIS 5e. 
Changes in SST lead changes in both planktonic and benthic d18O by an average 
~3 kyr, suggesting that SST changes in this region predated continental ice 
volume changes. Changes in SST display clear millennial scale variability, 
especially in marine isotope stage 3, with behavior somewhat similar to 
Antarctic proxy air temperature and South Pacific SST records. Removal of 
the temperature component from the planktonic d18O record demonstrates that 
glacial-interglacial d18O-water changes at this site were 1.0±0.2 per mil, 
similar to estimates for mean ocean shifts, implying that salinity changes 
due to regional hydrological variation between the Last Glacial Maximum and 
Holocene in the Galápagos region were minimal. Comparison between the 
TR163-22 SST record and an SST record from core TR163-19 North of the 
Equatorial Front reveals a largely similar broad-scale climate history, 
suggesting that changes in the Galápagos region were caused by large scale 
forcing rather than by local or regional dynamical changes. Changes in 
atmospheric greenhouse forcing are the most plausible explanation for 
the observed large-scale climate changes in the eastern equatorial Pacific.

GEOGRAPHIC REGION: Eastern Pacific, Galápagos Islands
PERIOD OF RECORD:  135 KyrBP - present


DESCRIPTION:  
This dataset includes G. ruber Mg/Ca and d18O, Uvigerina d18O, and calculated 
SST and d18Ow from core TR163-22, eastern equatorial Pacific.

Core TR163-22: 0°31'N, 92°24'W, 2830m. depth.

Ages are based on calibrated radiocarbon and marine isotope stage transitions. 
Mg/Ca is corrected for Al-silicated contamination as described in Lea et al., 2005, G^3. 
SST and O18w calculated as described in the primary reference. 
G. ruber Mg/Ca measured by isotope dilution ICP-MS at UCSB. 
G. ruber O18 measured by IRMS at UC Davis. 
Uvigerina O18 measured by IRMS at Univ. Cambridge, UK.


DATA:
Core TR163-22 Mg/Ca, d18O, d18Ow, and SST

Column 1: Depth (cm.)
Column 2: Age (Kyr)
Column 3: Mg/Ca G. ruber
Column 4: SST (°C)
Column 5: d18O G. ruber (per mil)
Column 6: d18Ow G. ruber (per mil)
Column 7: d18O Uvigerina (per mil)


Depth     Age   rubMg/Ca      SST     rubO18   rubO18w    UviO18
  287    31.6      2.315      23.4     -0.43      1.28      4.53
  289    31.8      2.103      22.3     -0.32      1.16      4.42
  291      32      2.251      23.1     -0.41      1.23      4.57
  293    32.2      2.283      23.2     -0.58      1.09      4.27
  295    32.4      2.237        23     -0.48      1.15      4.41
  297    32.6      2.253      23.1     -0.87      0.77      4.58
  299    32.9      2.026      21.9      -0.8       0.6      4.43
  301    33.1      2.319      23.4     -0.75      0.97      4.33
  303    33.3      2.234        23     -0.84      0.79      4.09
  305    33.5      2.186      22.8     -0.66      0.92      4.23
  307    33.8      1.931      21.4     -0.84      0.44      3.91
  309      34      2.125      22.5     -0.74      0.77      4.24
  311    34.2      2.132      22.5     -0.83      0.69       4.4
  313    34.4      2.347      23.6     -0.68      1.06      4.24
  315    34.7      2.162      22.6      -0.7      0.85      4.32
  317    34.9      2.175      22.7     -0.82      0.74      4.49
  319    35.1      2.145      22.6      -0.5      1.03      4.34
  321    35.4      2.243      23.1     -0.54       1.1      4.38
  323    35.6      2.236        23     -0.78      0.85      4.27
  325    35.9      2.278      23.2     -0.69      0.98      4.23
  327    36.1      2.258      23.1     -0.46      1.19      4.19
  329    36.3      2.354      23.6     -0.74      1.01      4.27
  331    36.6      2.218      22.9     -0.53      1.07      4.22
  333    36.8      2.352      23.6      -0.8      0.95      4.23
  335    37.1      2.363      23.6     -0.36      1.39      4.27
  337    37.3      2.253      23.1     -0.66      0.99       4.3
  339    37.6       2.13      22.5     -0.67      0.85      4.33
  341    37.8      2.237        23     -0.48      1.15      4.25
  343    38.1      2.154      22.6     -0.52      1.02      4.39
  345    38.4      2.031        22     -0.44      0.96      4.29
  347    38.6      1.999      21.8     -0.51      0.86      4.18
  349    38.9      2.014      21.9     -0.49      0.89      4.35
  351    39.1       1.97      21.6     -0.54       0.8      4.51
  353    39.4      2.116      22.4     -0.54      0.96      4.26
  355    39.7      2.112      22.4      -0.7      0.79      4.48
  357    39.9       2.22      22.9     -0.67      0.94      4.41
  359    40.2       1.94      21.4     -0.45      0.85      4.34
  361    40.5      2.019      21.9     -0.43      0.97       4.6
  363    40.7      1.984      21.7     -0.59      0.76      4.46
  365      41      2.071      22.2     -0.67      0.78      4.44
  367    41.3      2.108      22.4     -0.65      0.84      4.41
  369    41.6       2.07      22.2     -0.59      0.86      4.46
  371    41.9      2.025      21.9      -0.6       0.8      4.18
  373    42.2       2.12      22.4     -0.61      0.89      4.36
  375    42.4      2.217      22.9     -0.69      0.92      4.45
  377    42.7       2.18      22.7     -0.59      0.98      4.27
  379      43      2.161      22.6     -0.85       0.7      4.34
  381    43.3      2.207      22.9     -0.62      0.98      4.52
  383    43.6      2.051      22.1     -0.61      0.82      4.52
  385    43.9      2.185      22.8     -0.85      0.72      4.22
  387    44.2      2.317      23.4     -0.73      0.98      4.21
  389    44.5      2.145      22.6     -0.58      0.95      4.14
  391    44.8      2.147      22.6     -0.71      0.82      4.31
  393    45.1      2.346      23.6     -0.64       1.1      4.26
  395    45.4      2.246      23.1     -0.99      0.65       4.4
  397    45.7      2.414      23.9     -0.73      1.08      4.17
  399    46.1      2.246      23.1     -0.94       0.7      4.18
  401    46.5      2.263      23.2     -0.57      1.09      4.23
  403    46.7      2.313      23.4     -0.48      1.22      4.32
  405    46.9       2.15      22.6     -0.78      0.76      4.35
  407    47.2      2.315      23.4      -0.4       1.3      4.43
  409    47.4      2.366      23.6     -0.88      0.88      4.18
  411    47.6      2.309      23.4     -0.89      0.81      4.35
  413    47.9      2.318      23.4     -0.61       1.1      4.33
