	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	
7	29	-0.872576315	-1.644957766	0.234117168	-1.397840712	-1.612274481	-1.317253802	0.026231694	-0.417105795	0.126118443	-0.480594235	-0.49018874	1.627566962	-0.136085716	-1.360239169	-0.201171443	-0.285551053	-0.510983154	0.75137655	0.484747063	-0.290040969	-0.317970619	0.564116102	0.717067981	-1.58322646	0.69500481	-1.865148485	0.284503189
7.25	30	-0.864211718	-1.732453132	0.232158143	-1.476085299	-1.608928154	-1.330259045	-0.006559744	-0.417863046	0.01274467	-0.603060262	-0.473701429	1.691858804	-0.063575287	-1.399391644	-0.246888159	-0.313449933	-0.582479326	0.754234926	0.489420917	-0.32795983	-0.32321159	0.56794712	0.729518393	-1.591618026	0.72228383	-1.848988011	0.3196699
7.5	31	-0.85601103	-1.81582894	0.228513052	-1.553633233	-1.607342681	-1.353085014	-0.047477482	-0.424228745	-0.108658715	-0.779116747	-0.455211565	1.752209152	0.01578004	-1.418477145	-0.291200654	-0.343358193	-0.647381731	0.755457622	0.495157828	-0.364212966	-0.33118883	0.565324891	0.735038625	-1.600458542	0.745013451	-1.837279809	0.352711516
7.75	32	-0.849084496	-1.892115005	0.222425703	-1.62771239	-1.608127454	-1.395171016	-0.096701818	-0.437019936	-0.232576062	-0.962821107	-0.434005248	1.809805683	0.096905693	-1.423184925	-0.332910183	-0.374583604	-0.700160321	0.754743473	0.503193773	-0.400355814	-0.34160134	0.555318886	0.732409495	-1.610432226	0.761477381	-1.831131932	0.383298467
8	33	-0.844542361	-1.958341142	0.213139904	-1.69555065	-1.611891864	-1.446995685	-0.154413048	-0.457053663	-0.353491721	-1.108230757	-0.409368582	1.855439086	0.174727104	-1.427960203	-0.370817997	-0.406433936	-0.735285044	0.751791316	0.51476473	-0.436347148	-0.35398953	0.536998575	0.720411823	-1.622223297	0.770034427	-1.831380183	0.412986505
8.25	34	-0.843494867	-2.014903057	0.199899466	-1.757305722	-1.619245301	-1.495396881	-0.221478315	-0.484830833	-0.465890041	-1.172115698	-0.380587668	1.879900046	0.2441697	-1.446979173	-0.405829015	-0.43821696	-0.751202722	0.746299986	0.531100514	-0.472006144	-0.367748061	0.509722728	0.697831083	-1.636458432	0.772997567	-1.83562588	0.442108826
8.5	35	-0.844961124	-2.066109322	0.182189986	-1.817413776	-1.630282588	-1.527231486	-0.295214784	-0.518467154	-0.56578625	-1.158390799	-0.347228865	1.885532451	0.300158911	-1.471412378	-0.440349686	-0.469465034	-0.756641066	0.737912244	0.550501552	-0.507151977	-0.382554638	0.475781664	0.665999089	-1.651922451	0.772089199	-1.843033286	0.4707083
8.75	36	-0.846616127	-2.111899959	0.162075503	-1.876062901	-1.643447649	-1.544629371	-0.366233058	-0.557544509	-0.659677335	-1.099278358	-0.311468565	1.881216431	0.338705335	-1.49854379	-0.4743924	-0.500994883	-0.75238929	0.725336973	0.570886639	-0.541603822	-0.398093641	0.43589115	0.626672409	-1.667891776	0.76718508	-1.853595748	0.498827795
9	37	-0.848471571	-2.152135037	0.14018937	-1.933315313	-1.65858854	-1.557073237	-0.42489148	-0.602116997	-0.748698343	-1.025644401	-0.274080762	1.853297585	0.367901114	-1.539725816	-0.507954106	-0.533003036	-0.738591273	0.708122082	0.592205904	-0.575180856	-0.414049448	0.390070223	0.579848102	-1.684388276	0.758160967	-1.867306619	0.526510177
9.25	38	-0.850551154	-2.186674624	0.11651272	-1.98923323	-1.67571717	-1.565209167	-0.46171631	-0.652238718	-0.83233287	-0.968354955	-0.235263594	1.787674949	0.390428718	-1.606272479	-0.541031751	-0.565528303	-0.715390895	0.686246023	0.614409477	-0.607702253	-0.430106441	0.33833792	0.525523229	-1.701433823	0.744892616	-1.884159246	0.553798315
9.5	39	-0.852878575	-2.21537879	0.091026682	-2.04387887	-1.694845451	-1.569683243	-0.480601854	-0.707963771	-0.910064512	-0.951989455	-0.195215201	1.675085729	0.406151122	-1.695684611	-0.573622282	-0.598609494	-0.682932033	0.659687249	0.637447487	-0.63898719	-0.445948998	0.280713277	0.463694847	-1.719050287	0.727255783	-1.90414698	0.580735077
9.75	40	-0.855477533	-2.238107602	0.063712388	-2.097314449	-1.715985291	-1.570977417	-0.48764907	-0.769346254	-0.981376865	-0.954768679	-0.154133724	1.528344963	0.414931297	-1.800848457	-0.605722646	-0.632285417	-0.641358566	0.628424213	0.661270062	-0.668854841	-0.4612615	0.217215332	0.394360018	-1.737259539	0.705126227	-1.927263171	0.607363331
10	41	-0.858371725	-2.25472113	0.034550967	-2.149602184	-1.739148601	-1.568945453	-0.483325781	-0.836440266	-1.045753524	-0.96879034	-0.1122173	1.349577061	0.416632217	-1.922509671	-0.63732979	-0.666594881	-0.590814374	0.592435368	0.685827332	-0.698347103	-0.475728327	0.14786312	0.3175158	-1.75608345	0.678379702	-1.953501169	0.633725945
